iter	Logloss
0	0.6891292688
1	0.6849712106
2	0.6813083157
3	0.6772651127
4	0.6733096318
5	0.6683113336
6	0.6646625814
7	0.6618123089
8	0.6578327099
9	0.654566783
10	0.6508744161
11	0.6471695149
12	0.6440271639
13	0.6404150659
14	0.6370285439
15	0.6344664385
16	0.6310465544
17	0.6271179626
18	0.6235091631
19	0.620063559
20	0.6165610224
21	0.6132136961
22	0.6101568762
23	0.6071769622
24	0.6038950217
25	0.6000062029
26	0.5972826844
27	0.5944104314
28	0.5909079911
29	0.5885568811
30	0.585449866
31	0.582889647
32	0.5803531207
33	0.5776214735
34	0.5749667039
35	0.5724766217
36	0.5699118479
37	0.567421134
38	0.5653705808
39	0.5632780898
40	0.5612033155
41	0.5591081089
42	0.5571206324
43	0.5548823347
44	0.5525693788
45	0.5503554604
46	0.5480889807
47	0.5464111349
48	0.5442376852
49	0.5422617971
50	0.5405084439
51	0.538915032
52	0.536902434
53	0.5348733547
54	0.5328445644
55	0.5311040773
56	0.5297872451
57	0.5279047142
58	0.5262267834
59	0.5245119365
60	0.52268369
61	0.5205181829
62	0.5190551051
63	0.5176394926
64	0.5164210051
65	0.5145813352
66	0.5131383678
67	0.5111415122
68	0.5100182346
69	0.5087161612
70	0.5070507788
71	0.5052326698
72	0.5036677421
73	0.5022675393
74	0.5013158558
75	0.5003245735
76	0.4990143501
77	0.4976373942
78	0.4960686983
79	0.4946659924
80	0.4935554968
81	0.4926823934
82	0.4914073839
83	0.4900322316
84	0.4890178196
85	0.4877173683
86	0.4866662184
87	0.4850665576
88	0.4836688765
89	0.4822751844
90	0.4812683569
91	0.4802392843
92	0.4787588595
93	0.4774736163
94	0.4762791075
95	0.4749151848
96	0.4739248591
97	0.4726812486
98	0.4716780068
99	0.4703209167
100	0.4694256479
101	0.468156398
102	0.4673459217
103	0.466195402
104	0.465324384
105	0.4642302111
106	0.462895165
107	0.46218774
108	0.4610305294
109	0.4601846965
110	0.4593546345
111	0.4581812982
112	0.4573129849
113	0.4560003818
114	0.4545608563
115	0.4535572218
116	0.4522796713
117	0.4514970594
118	0.4504772085
119	0.4496214362
120	0.4488297939
121	0.4480324129
122	0.4469707113
123	0.4460223602
124	0.4452185993
125	0.4446346713
126	0.4438997783
127	0.4429241566
128	0.4420959314
129	0.4412369727
130	0.4403730162
131	0.4393204169
132	0.4384637051
133	0.4375454173
134	0.4362630224
135	0.4357642696
136	0.435001515
137	0.4340668752
138	0.4334831899
139	0.432694567
140	0.4318487192
141	0.4314011471
142	0.4304299366
143	0.4295437631
144	0.4288592395
145	0.4280183166
146	0.4274046713
147	0.4262445742
148	0.4252858598
149	0.4246221997
150	0.4238198699
151	0.4232292505
152	0.4221895574
153	0.4216497959
154	0.4212303313
155	0.4204185058
156	0.4198117502
157	0.4191977838
158	0.4187964001
159	0.4182834689
160	0.417852202
161	0.4172999052
162	0.4166996746
163	0.4162226129
164	0.4156817676
165	0.4150316587
166	0.4144200562
167	0.413744173
168	0.4131824342
169	0.4124429691
170	0.411937866
171	0.411229294
172	0.4107725862
173	0.4101941856
174	0.4094057841
175	0.4088539337
176	0.4082307237
177	0.4078356399
178	0.4069905296
179	0.4063163212
180	0.4060167587
181	0.4055462061
182	0.4050250792
183	0.4043803426
184	0.403745031
185	0.4031257845
186	0.4026428214
187	0.4020380657
188	0.4014860215
189	0.4012718257
190	0.4006545595
191	0.400201324
192	0.3997594359
193	0.3992953478
194	0.3987092246
195	0.3983125929
196	0.3976522728
197	0.3972247516
198	0.3965910568
199	0.3961777526
200	0.3955291244
201	0.3950520839
202	0.3946059292
203	0.3941563287
204	0.3937537099
205	0.3931866026
206	0.392870326
207	0.392265813
208	0.391758536
209	0.3912047094
210	0.390876692
211	0.3904762729
212	0.3900717147
213	0.3897181201
214	0.3891907549
215	0.3887400818
216	0.3881347034
217	0.3875938126
218	0.3873563456
219	0.386763208
220	0.3863409943
221	0.3856234348
222	0.3853380369
223	0.3846833029
224	0.3840294442
225	0.3836605375
226	0.3833582169
227	0.3829679459
228	0.3825488465
229	0.381833852
230	0.3813089764
231	0.3807695282
232	0.38035111
233	0.3799013399
234	0.3794872425
235	0.3791179724
236	0.3788245967
237	0.3784409798
238	0.3778633995
239	0.3776842092
240	0.3772427295
241	0.376796773
242	0.3765592978
243	0.3761357268
244	0.375698425
245	0.3754336801
246	0.3750437016
247	0.3746168859
248	0.3742615882
249	0.373855128
250	0.3735193141
251	0.3731770507
252	0.3726798376
253	0.3723145855
254	0.3720214597
255	0.3716644479
256	0.3712679297
257	0.3709106332
258	0.3705045725
259	0.3700352252
260	0.3698694377
261	0.3695906706
262	0.3691317447
263	0.3688553761
264	0.3685264103
265	0.368048575
266	0.3675772645
267	0.3669115418
268	0.3666527852
269	0.3661913593
270	0.3659692878
271	0.3653879708
272	0.3651564144
273	0.3647454901
274	0.3643306737
275	0.363996856
276	0.3636764573
277	0.363581202
278	0.3633767482
279	0.3628804299
280	0.362589643
281	0.3623100914
282	0.3619135736
283	0.3613474295
284	0.3611361978
285	0.3607531941
286	0.3604244709
287	0.3601668896
288	0.3598051642
289	0.3593311517
290	0.3590423218
291	0.3587264082
292	0.3583439556
293	0.3579335913
294	0.3576970911
295	0.3572218721
296	0.3569705353
297	0.3567831352
298	0.3565816288
299	0.3563405355
300	0.356179271
301	0.3558211644
302	0.3553343174
303	0.3550431638
304	0.3546412064
305	0.3540986845
306	0.3536932345
307	0.3533814094
308	0.3531506509
309	0.3527990616
310	0.3524769085
311	0.3519781134
312	0.3518023805
313	0.3514553421
314	0.3510852314
315	0.3507705482
316	0.3504778341
317	0.350120456
318	0.3497544614
319	0.3494564523
320	0.3490661746
321	0.3487124764
322	0.3484964062
323	0.3481619948
324	0.3478139118
325	0.3475648158
326	0.3471644391
327	0.346940926
328	0.3466021217
329	0.3463113945
330	0.3457655371
331	0.3453551931
332	0.3448500894
333	0.3446249695
334	0.3442454672
335	0.3439031509
336	0.3434146279
337	0.3431236789
338	0.3428635074
339	0.3424995544
340	0.3422507984
341	0.3420329879
342	0.3417676874
343	0.3415541993
344	0.3412706528
345	0.3410824582
346	0.3407633514
347	0.3404702679
348	0.3402187343
349	0.3399929062
350	0.3397898661
351	0.3395724771
352	0.3394803503
353	0.3392669177
354	0.3390817298
355	0.3389200355
356	0.3385239267
357	0.338395599
358	0.3381046536
359	0.3379065588
360	0.3378064244
361	0.3376703913
362	0.3374048999
363	0.3370519775
364	0.3367447907
365	0.3364178143
366	0.3362703588
367	0.3360762218
368	0.3358304544
369	0.3354639585
370	0.335229542
371	0.3349710718
372	0.3348672997
373	0.3346084129
374	0.334275057
375	0.333964956
376	0.3337263832
377	0.3334104892
378	0.333076823
379	0.3325667769
380	0.3323409598
381	0.3321806225
382	0.3320719555
383	0.3316087126
384	0.3314078983
385	0.3311691618
386	0.3308315211
387	0.3303907627
388	0.3302525037
389	0.3300133252
390	0.3298134698
391	0.3295870395
392	0.3294165369
393	0.3292418587
394	0.3290340197
395	0.3288146876
396	0.3284179206
397	0.3282085283
398	0.3278212491
399	0.3276866062
400	0.3275534838
401	0.3273740391
402	0.3271927809
403	0.3269351826
404	0.3266526814
405	0.3261674886
406	0.3259474687
407	0.3257570431
408	0.325614475
409	0.325391747
410	0.3251508741
411	0.324758866
412	0.3245696692
413	0.3241988475
414	0.3240477429
415	0.3238655549
416	0.3235474134
417	0.3233759715
418	0.3231294881
419	0.3228738297
420	0.3227548578
421	0.3225073342
422	0.3222629334
423	0.3220628764
424	0.3215672918
425	0.3214576336
426	0.3212142937
427	0.3209990608
428	0.3204085116
429	0.3202602085
430	0.3198684285
431	0.3196732539
432	0.3195077258
433	0.3193451406
434	0.3192226881
435	0.3192051445
436	0.3190040316
437	0.3188788084
438	0.3187159541
439	0.3184924765
440	0.3183168619
441	0.3181408924
442	0.3179479287
443	0.3177528974
444	0.3175160783
445	0.317214189
446	0.3170111174
447	0.3167449386
448	0.3164450453
449	0.3162010965
450	0.3160694965
451	0.315833418
452	0.3155762728
453	0.3153521102
454	0.3149865464
455	0.3148817277
456	0.3146603869
457	0.314563257
458	0.3144438906
459	0.3142445558
460	0.3140505624
461	0.3137121377
462	0.313493392
463	0.3132503876
464	0.3130343646
465	0.312672109
466	0.312383181
467	0.3121602793
468	0.3120811443
469	0.3118785796
470	0.3116704141
471	0.3113736351
472	0.3109216091
473	0.3108255512
474	0.3106476596
475	0.310436928
476	0.3101459125
477	0.3098774988
478	0.3095799053
479	0.3092297378
480	0.3089785857
481	0.3088171836
482	0.3086552745
483	0.3085181896
484	0.3082082117
485	0.3079578373
486	0.307500378
487	0.3073705831
488	0.3071466736
489	0.3070645512
490	0.3068995789
491	0.3066657585
492	0.3064276193
493	0.3062372245
494	0.3058280414
495	0.3055906726
496	0.30533246
497	0.3051980751
498	0.3050813231
499	0.304771981
500	0.3045970578
501	0.3043742792
502	0.3041879006
503	0.3040485395
504	0.3037059718
505	0.3035386186
506	0.3033945615
507	0.3032890137
508	0.3031481308
509	0.3028897442
510	0.3028112341
511	0.302641229
512	0.3025290501
513	0.3022413072
514	0.3019743441
515	0.3017857944
516	0.3015939435
517	0.3011762873
518	0.3008944996
519	0.3007502493
520	0.3006651928
521	0.3003416357
522	0.3002117262
523	0.3000419128
524	0.2997424037
525	0.2991975101
526	0.2990611449
527	0.2987397943
528	0.298582387
529	0.2983356769
530	0.2980305061
531	0.2977893919
532	0.2974811025
533	0.2973072854
534	0.2970718507
535	0.2968518067
536	0.296720226
537	0.29646417
538	0.2961826295
539	0.2960498687
540	0.2959519617
541	0.2957917911
542	0.2956373561
543	0.2954288514
544	0.2951886691
545	0.2950639773
546	0.2948006337
547	0.2946544111
548	0.2944523713
