iter	Passed	Remaining
751	1149	379
752	1150	377
753	1152	376
754	1154	374
755	1155	372
756	1156	371
757	1158	369
758	1159	368
759	1161	366
760	1162	365
761	1164	363
762	1165	362
763	1167	360
764	1168	358
765	1170	357
766	1171	355
767	1173	354
768	1174	352
769	1176	351
770	1177	349
771	1179	348
772	1180	346
773	1182	345
774	1183	343
775	1185	342
776	1186	340
777	1187	338
778	1189	337
779	1190	335
780	1192	334
781	1193	332
782	1194	331
783	1196	329
784	1197	328
785	1199	326
786	1200	325
787	1202	323
788	1203	321
789	1205	320
790	1207	318
791	1208	317
792	1210	315
793	1211	314
794	1212	312
795	1214	311
796	1215	309
797	1217	308
798	1218	306
799	1220	305
800	1221	303
801	1223	302
802	1224	300
803	1226	298
804	1227	297
805	1229	295
806	1231	294
807	1232	292
808	1234	291
809	1235	289
810	1237	288
811	1238	286
812	1239	285
813	1241	283
814	1242	282
815	1244	280
816	1245	279
817	1247	277
818	1248	275
819	1250	274
820	1251	272
821	1252	271
822	1254	269
823	1256	268
824	1257	266
825	1259	265
826	1260	263
827	1262	262
828	1263	260
829	1264	259
830	1266	257
831	1267	256
832	1269	254
833	1270	252
834	1272	251
835	1273	249
836	1275	248
837	1277	246
838	1278	245
839	1280	243
840	1281	242
841	1283	240
842	1284	239
843	1286	237
844	1287	236
845	1289	234
846	1290	233
847	1292	231
848	1293	230
849	1295	228
850	1296	227
851	1298	225
852	1300	224
853	1301	222
854	1303	220
855	1304	219
856	1306	217
857	1307	216
858	1309	214
859	1310	213
860	1311	211
861	1313	210
862	1314	208
863	1316	207
864	1317	205
865	1318	204
866	1320	202
867	1321	201
868	1323	199
869	1324	197
870	1326	196
871	1328	194
872	1329	193
873	1331	191
874	1332	190
875	1334	188
876	1335	187
877	1337	185
878	1338	184
879	1340	182
880	1341	181
881	1343	179
882	1344	178
883	1346	176
884	1347	175
885	1349	173
886	1350	172
887	1352	170
888	1353	169
889	1355	167
890	1356	166
891	1358	164
892	1360	162
893	1361	161
894	1363	159
895	1364	158
896	1366	156
897	1367	155
898	1369	153
899	1371	152
900	1372	150
901	1374	149
902	1375	147
903	1377	146
904	1378	144
905	1380	143
906	1381	141
907	1383	140
908	1384	138
909	1386	137
910	1388	135
911	1389	134
912	1391	132
913	1392	131
914	1394	129
915	1395	127
916	1397	126
917	1398	124
918	1400	123
919	1401	121
920	1403	120
921	1404	118
922	1406	117
923	1407	115
924	1409	114
925	1410	112
926	1412	111
927	1414	109
928	1415	108
929	1417	106
930	1418	105
931	1420	103
932	1422	102
933	1423	100
934	1425	99
935	1426	97
936	1427	96
937	1429	94
938	1430	92
939	1432	91
940	1433	89
941	1435	88
942	1436	86
943	1437	85
944	1439	83
945	1440	82
946	1442	80
947	1444	79
948	1445	77
949	1447	76
950	1448	74
951	1449	73
952	1451	71
953	1452	70
954	1454	68
955	1455	66
956	1457	65
957	1458	63
958	1460	62
959	1461	60
960	1463	59
961	1464	57
962	1466	56
963	1468	54
964	1469	53
965	1471	51
966	1472	50
967	1474	48
968	1475	47
969	1477	45
970	1478	44
971	1480	42
972	1481	41
973	1482	39
974	1484	38
975	1485	36
976	1487	35
977	1488	33
978	1490	31
979	1491	30
980	1493	28
981	1495	27
982	1496	25
983	1498	24
984	1499	22
985	1501	21
986	1502	19
987	1504	18
988	1505	16
989	1507	15
990	1508	13
991	1510	12
992	1511	10
993	1513	9
994	1514	7
995	1515	6
996	1517	4
997	1518	3
998	1520	1
999	1521	0
